,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9
GT60,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GT62,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
GT66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GT69,6.0,6.0,6.0,6.0,6.0,3.0,4.0,5.0,5.0
GT71,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0
GT76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GT8,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0
GT81,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0
GT83,0.0,2.0,4.0,0.0,12.0,0.0,0.0,2.0,1.0
GT87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GT9,0.0,5.0,6.0,0.0,7.0,0.0,0.0,2.0,4.0
GT90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
GT94,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0
PL1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
PL14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PL14_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PL14_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PL1_1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PL1_10,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PL1_11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PL1_12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PL1_2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
PL1_3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PL1_5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PL1_6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PL1_7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PL1_9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PL20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PL7_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PL9_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLH,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
